run_id,case_id,planning_seconds,screen_seconds,enhanced_seconds,formal_seconds,new_screen_trials,enhanced_candidates,formal_challengers,deployment_updates,decision
20260831T034421.724307Z_optimize_resident,official_01,2.621,116.604,1.019,15.556,96,8,1,0,rejected
20260831T034421.724307Z_optimize_resident,official_02,2.095,95.956,0.827,0.549,96,8,1,1,published
20260831T034421.724307Z_optimize_resident,official_03,2.568,58.089,0.997,0.489,96,8,1,0,rejected
20260831T034421.724307Z_optimize_resident,official_04,2.595,86.132,0.600,0.678,96,8,1,0,rejected
20260831T034421.724307Z_optimize_resident,official_05,2.803,117.486,1.584,22.216,76,8,1,0,rejected
20260831T034421.724307Z_optimize_resident,official_06,2.741,132.194,18.251,39.854,5,4,1,0,rejected
20260831T034421.724307Z_optimize_resident,official_07,2.830,117.796,1.542,0.654,75,8,1,1,published
20260831T034421.724307Z_optimize_resident,official_08,2.138,118.197,24.585,22.156,29,8,1,0,rejected
20260831T034421.724307Z_optimize_resident,official_09,2.814,98.875,2.290,1.367,96,8,1,0,rejected
20260831T034421.724307Z_optimize_resident,official_10,2.751,114.257,1.040,1.575,96,8,1,0,rejected
20260831T034421.724307Z_optimize_resident,official_11,3.007,117.874,8.451,1.625,80,8,1,0,rejected
20260831T034421.724307Z_optimize_resident,official_12,2.721,61.557,0.282,0.774,96,8,1,0,rejected
20260831T034421.724307Z_optimize_resident,official_13,3.229,118.744,12.892,11.356,33,8,1,0,rejected
