case_id,batch_size,qkv_dim,heads,seq_len,layers,causal,ffn_dim,total_tokens,attention_elements
official_01,64,128,4,128,4,True,128,8192,16777216
official_02,1,128,4,128,4,True,128,128,262144
official_03,4,128,4,128,4,True,128,512,1048576
official_04,16,128,4,128,4,True,128,2048,4194304
official_05,128,128,4,128,4,True,128,16384,33554432
official_06,10000,128,4,128,4,True,128,1280000,2621440000
official_07,64,32,4,128,4,True,32,8192,16777216
official_08,64,1024,4,128,4,True,1024,8192,16777216
official_09,64,128,1,128,4,True,128,8192,4194304
official_10,64,128,2,128,4,True,128,8192,8388608
official_11,64,128,16,128,4,True,128,8192,67108864
official_12,64,128,4,32,4,True,128,2048,1048576
official_13,64,128,4,1024,4,True,128,65536,1073741824
official_14,32,1024,16,100000,2,True,1024,3200000,10240000000000
